price,year,manufacturer,model,condition,cylinders,fuel,odometer,transmission,drive,type,paint_color
6998,2009.0,subaru,forester,missing,missing,gas,148938.0,manual,missing,SUV,blue
8999,2011.0,mercedes-benz,glk-class,excellent,6 cylinders,gas,143062.0,automatic,rwd,SUV,white
6850,2012.0,toyota,prius c,missing,4 cylinders,gas,103200.0,automatic,fwd,missing,blue
29900,1971.0,datsun,240z,missing,6 cylinders,gas,33506.0,manual,missing,missing,missing
30590,2020.0,volvo,s60 t5 momentum sedan 4d,good,missing,gas,12029.0,other,fwd,sedan,red
8990,2013.0,missing,smart fortwo Passion Hatchback,good,missing,gas,59072.0,automatic,rwd,coupe,silver
32888,2017.0,chevrolet,silverado 1500 lt,excellent,8 cylinders,gas,86355.0,automatic,missing,truck,missing
6000,2004.0,chevrolet,tahoe,missing,missing,gas,185.0,automatic,missing,missing,missing
6650,2013.0,missing,Hyundia Sonata,good,4 cylinders,gas,108000.0,automatic,missing,missing,blue
4700,2008.0,hyundai,santa fe,excellent,6 cylinders,gas,155000.0,automatic,4wd,SUV,blue
5495,2007.0,cadillac,dts,excellent,8 cylinders,gas,117385.0,automatic,fwd,sedan,white
4500,2010.0,honda,civic,good,4 cylinders,gas,183000.0,automatic,fwd,sedan,silver
8995,2015.0,nissan,versa,missing,missing,gas,92166.0,automatic,missing,missing,missing
37995,2015.0,ram,2500,excellent,8 cylinders,diesel,140000.0,automatic,4wd,pickup,white
8999,2011.0,ford,flex,good,6 cylinders,gas,160483.0,automatic,fwd,SUV,black
14995,2015.0,lincoln,mkt ecoboost,excellent,6 cylinders,gas,46149.0,automatic,4wd,wagon,white
32895,2020.0,ford,explorer,missing,missing,gas,21064.0,automatic,rwd,missing,red
6500,1999.0,missing,1999 International,good,missing,diesel,167000.0,automatic,missing,truck,white
20977,2016.0,chevrolet,colorado lt,good,6 cylinders,other,118921.0,automatic,4wd,pickup,missing
32850,2013.0,gmc,sierra 1500,missing,missing,other,65875.0,automatic,missing,missing,missing
4750,2007.0,honda,accord sedan,good,4 cylinders,gas,161000.0,automatic,fwd,sedan,blue
0,2017.0,audi,a4 allroad,missing,missing,other,29881.0,automatic,missing,SUV,black
5500,2003.0,ford,escape xlt 4x4,excellent,6 cylinders,gas,161000.0,automatic,4wd,SUV,blue
2000,2006.0,ford,expedition,missing,missing,gas,203000.0,automatic,missing,missing,missing
32680,2017.0,mercedes-benz,gle 350,missing,6 cylinders,gas,43540.0,automatic,4wd,SUV,grey
0,2018.0,gmc,sierra 2500 slt duramax die,missing,8 cylinders,diesel,44977.0,automatic,4wd,truck,missing
40590,2018.0,lexus,rx 350l sport utility 4d,good,6 cylinders,gas,9173.0,other,missing,other,missing
99,2018.0,alfa-romeo,romeo stelvio,missing,missing,gas,64076.0,automatic,missing,missing,custom
13499,2015.0,toyota,camry,missing,missing,gas,93485.0,automatic,missing,missing,missing
6995,2007.0,jeep,grand cherokee laredo,excellent,6 cylinders,gas,108000.0,automatic,4wd,missing,missing
12195,2005.0,chevrolet,avalanche 1500 ls 4dr 1500 ls crew cab sb,missing,8 cylinders,other,172007.0,automatic,rwd,pickup,blue
999,2005.0,kia,sedona lx,excellent,6 cylinders,gas,194236.0,automatic,fwd,mini-van,blue
32975,2019.0,gmc,acadia,missing,missing,gas,20143.0,automatic,4wd,missing,missing
54995,2019.0,gmc,sierra 1500 4wd,excellent,missing,gas,70397.0,automatic,4wd,missing,white
5000,1994.0,missing,1994 bus,good,missing,diesel,200000.0,automatic,missing,bus,white
